Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-08-02 07:46:00;27;110;612934;3,0;L;54;B;Sentido RJ;Proximo;.;0;;.;59
2022-08-02 07:46:00;27;111;612934;2,0;R;54;B;Sentido RJ;Distante;.;0;;.;55
2022-08-02 07:46:00;27;111;612934;2,0;L;54;B;Sentido RJ;Proximo;.;0;;.;55
2022-08-02 07:46:00;27;112;612934;1,0;R;54;B;Sentido RJ;Distante;.;0;;.;53
2022-08-02 07:46:00;27;112;612934;1,0;L;54;B;Sentido RJ;Proximo;.;0;;.;55
2022-08-02 19:57:00;71;285;734879;4,0;R;52;B;Sentido RJ;Distante;RS3;0;False;.;55
2022-08-02 19:57:00;71;285;734879;4,0;L;52;B;Sentido RJ;Proximo;.;0;;.;57
2022-08-02 19:57:00;71;286;734879;3,0;R;52;B;Sentido RJ;Distante;.;0;;.;52
2022-08-02 19:57:00;71;286;734879;3,0;L;52;B;Sentido RJ;Proximo;.;0;;.;54
2022-08-02 19:57:00;71;287;734879;2,0;R;52;B;Sentido RJ;Distante;.;0;;.;52
2022-08-02 19:57:00;71;287;734879;2,0;L;52;B;Sentido RJ;Proximo;.;0;;.;56
2022-08-02 19:57:00;71;288;734879;1,0;R;52;B;Sentido RJ;Distante;.;0;;.;53
2022-08-02 19:57:00;71;288;734879;1,0;L;52;B;Sentido RJ;Proximo;.;0;;.;58
2022-11-02 23:07:00;110;441;612934;1,0;L;49;A;Sentido RJ;Distante;RS3;0;False;.;55
2022-11-02 23:07:00;110;441;612934;1,0;R;49;A;Sentido RJ;Proximo;.;0;;.;57
2022-11-02 23:07:00;110;442;612934;2,0;L;49;A;Sentido RJ;Distante;RS3;0;False;.;54
2022-11-02 23:07:00;110;442;612934;2,0;R;49;A;Sentido RJ;Proximo;.;0;;.;58
2022-11-02 23:07:00;110;443;612934;3,0;L;49;A;Sentido RJ;Distante;.;0;;.;56
2022-11-02 23:07:00;110;443;612934;3,0;R;49;A;Sentido RJ;Proximo;.;0;;.;55
2022-11-02 23:07:00;110;444;612934;4,0;L;49;A;Sentido RJ;Distante;.;0;;.;59
2022-11-02 23:07:00;110;444;612934;4,0;R;49;A;Sentido RJ;Proximo;RS3;0;False;.;59
2022-02-13 08:57:00;75;301;734879;4,0;R;48;B;Sentido RJ;Distante;RS3;0;False;.;56
2022-02-13 08:57:00;75;301;734879;4,0;L;48;B;Sentido RJ;Proximo;.;0;;.;57
2022-02-13 08:57:00;75;302;734879;3,0;R;48;B;Sentido RJ;Distante;.;0;;.;53
2022-02-13 08:57:00;75;302;734879;3,0;L;48;B;Sentido RJ;Proximo;.;0;;.;56
2022-02-13 08:57:00;75;303;734879;2,0;R;48;B;Sentido RJ;Distante;.;0;;.;53
2022-02-13 08:57:00;75;303;734879;2,0;L;48;B;Sentido RJ;Proximo;.;0;;.;55
2022-02-13 08:57:00;75;304;734879;1,0;R;48;B;Sentido RJ;Distante;.;0;;.;54
2022-02-13 08:57:00;75;304;734879;1,0;L;48;B;Sentido RJ;Proximo;RS3;0;False;.;57
2022-02-16 11:22:00;85;341;612934;4,0;R;51;B;Sentido RJ;Distante;.;0;;.;59
2022-02-16 11:22:00;85;341;612934;4,0;L;51;B;Sentido RJ;Proximo;.;0;;.;60
2022-02-16 11:22:00;85;342;612934;3,0;R;51;B;Sentido RJ;Distante;.;0;;.;56
2022-02-16 11:22:00;85;342;612934;3,0;L;51;B;Sentido RJ;Proximo;.;0;;.;58
2022-02-16 11:22:00;85;343;612934;2,0;R;51;B;Sentido RJ;Distante;.;0;;.;62
2022-02-16 11:22:00;85;343;612934;2,0;L;51;B;Sentido RJ;Proximo;.;0;;.;60
2022-02-16 11:22:00;85;344;612934;1,0;R;51;B;Sentido RJ;Distante;RS3;0;False;.;63
2022-02-16 11:22:00;85;344;612934;1,0;L;51;B;Sentido RJ;Proximo;FBS(4);0;;.;63
2022-02-16 21:41:00;75;301;734879;4,0;R;52;B;Sentido RJ;Distante;.;0;;.;56
2022-02-16 21:41:00;75;301;734879;4,0;L;52;B;Sentido RJ;Proximo;RS3;0;False;.;57
2022-02-16 21:41:00;75;302;734879;3,0;R;52;B;Sentido RJ;Distante;.;0;;.;51
2022-02-16 21:41:00;75;302;734879;3,0;L;52;B;Sentido RJ;Proximo;.;0;;.;55
