Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
NFG0156;734879;4;24,12;21,0;3,0199999999999996;2,5500000000000003;31;37;59,30000000000001;66,37999999999998;16,050000000000004;16,9;42,0;9,0
NFG0314;612934;1;15,27;14,01;3,8499999999999996;2,9699999999999998;18;32;94,59;108,26;19,6;18,01;88,0;114,0
NFG0314;612934;2;15,27;14,01;3,8499999999999996;2,9699999999999998;20;17;94,59;108,26;19,6;18,01;104,0;100,0
NFG0314;612934;3;15,27;14,01;3,8499999999999996;2,9699999999999998;22;24;94,59;108,26;19,6;18,01;129,0;136,0
NFG0314;612934;4;15,27;14,01;3,8499999999999996;2,9699999999999998;19;25;94,59;108,26;19,6;18,01;103,0;148,0
NFG0314;734879;1;15,27;14,01;3,8499999999999996;2,9699999999999998;29;19;94,59;108,26;19,6;18,01;130,0;124,0
NFG0314;734879;2;15,27;14,01;3,8499999999999996;2,9699999999999998;25;21;94,59;108,26;19,6;18,01;20,0;170,0
NFG0314;734879;3;15,27;14,01;3,8499999999999996;2,9699999999999998;22;15;94,59;108,26;19,6;18,01;139,0;80,0
NFG0314;734879;4;15,27;14,01;3,8499999999999996;2,9699999999999998;23;25;94,59;108,26;19,6;18,01;105,0;152,0
NFG0320;612934;1;16,91;14,629999999999999;3,67;2,56;31;22;60,480000000000004;72,83;14,59;13,38;75,0;101,0
NFG0320;612934;2;16,91;14,629999999999999;3,67;2,56;17;22;60,480000000000004;72,83;14,59;13,38;88,0;85,0
NFG0320;612934;3;16,91;14,629999999999999;3,67;2,56;19;20;60,480000000000004;72,83;14,59;13,38;39,0;75,0
NFG0320;612934;4;16,91;14,629999999999999;3,67;2,56;20;17;60,480000000000004;72,83;14,59;13,38;60,0;82,0
